port,top_slack,tile_slack,slack_delta,driver_slack,receiver_slack,delay_split,available_time,driver_delay,receiver_delay,driver_efo,receiver_efo,efo_delta,route_ratio
p248,-2.257389,9.77293,12.03,-22.270115,32.043045,0.5941,175.214112,99.957062,68.295898,2.11,3.17,1.06,0.41
p249,46.730106,36.413928,10.32,46.747974,-10.334046,0.5239,174.429688,65.725555,59.729553,3.54,2.49,1.05,0.19
p250,33.55587,19.713034,13.84,10.3105,9.402534,0.4325,176.765533,67.009521,87.937744,4.15,2.58,1.57,0.14
p251,92.056831,77.172175,14.88,61.408173,15.764002,0.6792,184.727935,63.016479,29.766418,4.65,5.04,0.39,0.31
p252,71.068756,59.108257,11.96,49.104248,10.004009,0.67,184.296325,74.888794,36.887451,11.41,8.41,3,0.16
p253,95.288834,79.453876,15.83,65.56485,13.889026,0.6594,182.105041,58.366119,30.145752,6.32,4.84,1.48,0.27
p254,73.109421,59.475438,13.63,42.2384,17.237038,0.7634,182.074615,81.662231,25.311157,10.61,6.82,3.79,0.22
p255,89.879471,78.698328,11.18,67.794899,10.903429,0.6342,183.53067,57.575104,33.2099,6.02,4.01,2.01,0.3
p256,31.558681,90.591915,59.03,71.609344,18.982571,0.6673,182.60907,52.839203,26.34613,1.09,1.76,0.67,0.38
p257,67.422638,56.062037,11.36,49.913132,6.148905,0.6619,183.807983,74.688843,38.152466,5.09,3.59,1.5,0.36
p258,72.136642,83.923576,11.79,49.768562,34.155014,0.8606,185.896332,75.063477,12.154785,11.12,3,8.12,0.24
p259,92.054283,78.646738,13.41,64.108887,14.537851,0.6489,185.904938,60.731659,32.852905,10.53,6.52,4.01,0.26
p260,66.242348,55.98255,10.26,37.793694,18.188856,0.7744,182.860016,86.615387,25.238953,8.65,7.22,1.43,0.21
p261,79.051262,67.953144,11.1,44.991341,22.961803,0.787,183.134186,79.691895,21.567749,10.99,4.55,6.44,0.19
p262,59.231155,48.261319,10.97,13.058068,35.203251,0.9445,174.154877,104.431396,6.139649,4.27,3,1.27,0.32
p263,66.757401,55.146192,11.61,14.635858,40.510334,0.9655,178.618408,106.716461,3.809448,4.57,3,1.57,0.3
p264,47.276123,29.066735,18.21,5.888192,23.178543,0.8414,179.411866,115.19873,21.717041,4.35,7.37,3.02,0.26
p265,69.805702,56.024245,13.78,15.155207,40.869038,0.9827,179.674804,106.096252,1.86554,4.42,3,1.42,0.31
p266,67.087723,55.948737,11.14,14.54188,41.406857,0.9861,179.674804,106.709534,1.504944,6.37,3,3.37,0.25
p267,73.660027,58.310804,15.35,16.642675,41.668129,0.9867,179.674804,104.608765,1.410705,5.18,3,2.18,0.26
p268,73.046928,60.383108,12.66,17.036955,43.346153,0.9871,179.674804,104.214539,1.364502,5.21,3,2.21,0.26
p269,48.523666,68.751233,20.23,60.576347,8.174886,0.4876,185.298798,60.786377,63.8703,1.99,2.73,0.74,0.34
p270,52.09346,73.002367,20.91,60.523708,12.478659,0.4911,185.313446,60.853699,63.07019,2.13,2.55,0.42,0.32
p271,51.42028,69.520284,18.1,60.808701,8.711583,0.4777,192.875488,60.767731,66.449402,1.98,2.55,0.57,0.31
p272,49.169975,66.081048,16.91,60.534702,5.546346,0.4843,193.144806,61.20105,65.174622,2.05,3.79,1.74,0.32
p273,36.313908,54.37992,18.07,46.546135,7.833785,0.524,183.78659,73.271332,66.551758,2.12,4.11,1.99,0.31
p274,32.915058,47.842149,14.93,43.814754,4.027395,0.5203,183.793609,76.009796,70.066406,2.16,2.6,0.44,0.29
