Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
output[46],set_output_delay,1.207,rise,clk_v0_setuphold,0.469,-0.899,
output[46],set_output_delay,1.205,fall,clk_v0_setuphold,0.458,-0.899,
output[45],set_output_delay,1.225,rise,clk_v0_setuphold,0.506,-0.899,
output[45],set_output_delay,1.221,fall,clk_v0_setuphold,0.488,-0.899,
output[44],set_output_delay,1.154,rise,clk_v0_setuphold,0.422,-0.899,
output[44],set_output_delay,1.152,fall,clk_v0_setuphold,0.409,-0.899,
output[43],set_output_delay,1.188,rise,clk_v0_setuphold,0.466,-0.899,
output[43],set_output_delay,1.185,fall,clk_v0_setuphold,0.449,-0.899,
output[42],set_output_delay,1.187,rise,clk_v0_setuphold,0.447,-0.899,
output[42],set_output_delay,1.185,fall,clk_v0_setuphold,0.438,-0.899,
output[41],set_output_delay,1.198,rise,clk_v0_setuphold,0.470,-0.899,
output[41],set_output_delay,1.195,fall,clk_v0_setuphold,0.456,-0.899,
output[40],set_output_delay,1.161,rise,clk_v0_setuphold,0.428,-0.899,
output[40],set_output_delay,1.158,fall,clk_v0_setuphold,0.415,-0.899,
output[39],set_output_delay,1.189,rise,clk_v0_setuphold,0.473,-0.899,
output[39],set_output_delay,1.185,fall,clk_v0_setuphold,0.454,-0.899,
output[38],set_output_delay,1.202,rise,clk_v0_setuphold,0.517,-0.897,
output[38],set_output_delay,1.194,fall,clk_v0_setuphold,0.474,-0.897,
output[37],set_output_delay,1.201,rise,clk_v0_setuphold,0.471,-0.899,
output[37],set_output_delay,1.198,fall,clk_v0_setuphold,0.457,-0.899,
output[36],set_output_delay,1.153,rise,clk_v0_setuphold,0.427,-0.899,
output[36],set_output_delay,1.150,fall,clk_v0_setuphold,0.412,-0.899,
output[35],set_output_delay,1.188,rise,clk_v0_setuphold,0.460,-0.899,
output[35],set_output_delay,1.185,fall,clk_v0_setuphold,0.446,-0.899,
output[34],set_output_delay,1.208,rise,clk_v0_setuphold,0.486,-0.899,
output[34],set_output_delay,1.204,fall,clk_v0_setuphold,0.469,-0.899,
output[33],set_output_delay,1.217,rise,clk_v0_setuphold,0.491,-0.899,
output[33],set_output_delay,1.214,fall,clk_v0_setuphold,0.476,-0.899,
output[32],set_output_delay,1.161,rise,clk_v0_setuphold,0.424,-0.899,
output[32],set_output_delay,1.159,fall,clk_v0_setuphold,0.413,-0.899,
output[31],set_output_delay,1.162,rise,clk_v0_setuphold,0.430,-0.899,
output[31],set_output_delay,1.161,fall,clk_v0_setuphold,0.419,-0.899,
output[30],set_output_delay,1.202,rise,clk_v0_setuphold,0.477,-0.899,
output[30],set_output_delay,1.199,fall,clk_v0_setuphold,0.461,-0.899,
output[29],set_output_delay,1.183,rise,clk_v0_setuphold,0.454,-0.899,
output[29],set_output_delay,1.181,fall,clk_v0_setuphold,0.440,-0.899,
output[28],set_output_delay,1.144,rise,clk_v0_setuphold,0.417,-0.899,
output[28],set_output_delay,1.141,fall,clk_v0_setuphold,0.402,-0.899,
output[27],set_output_delay,1.184,rise,clk_v0_setuphold,0.454,-0.899,
output[27],set_output_delay,1.181,fall,clk_v0_setuphold,0.440,-0.899,
output[26],set_output_delay,1.192,rise,clk_v0_setuphold,0.459,-0.899,
output[26],set_output_delay,1.189,fall,clk_v0_setuphold,0.447,-0.899,
output[25],set_output_delay,1.207,rise,clk_v0_setuphold,0.479,-0.899,
output[25],set_output_delay,1.204,fall,clk_v0_setuphold,0.464,-0.899,
output[24],set_output_delay,1.184,rise,clk_v0_setuphold,0.460,-0.899,
output[24],set_output_delay,1.181,fall,clk_v0_setuphold,0.444,-0.899,
