Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input0[4],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.123,-0.899,
input0[4],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.212,-0.929,
input0[3],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.128,-0.899,
input0[3],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.221,-0.932,
input0[2],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.118,-0.899,
input0[2],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.213,-0.929,
input0[1],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.137,-0.899,
input0[1],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.233,-0.934,
input0[0],set_input_delay,0.000,rise,_INN_superClk_v0_setuphold,0.136,-0.895,
input0[0],set_input_delay,0.000,fall,_INN_superClk_v0_setuphold,0.233,-0.938,
input1[79],set_input_delay,-0.015,rise,clk_v0_setuphold,0.438,-0.899,
input1[79],set_input_delay,-0.026,fall,clk_v0_setuphold,0.502,-0.929,
input1[78],set_input_delay,-0.014,rise,clk_v0_setuphold,0.447,-0.899,
input1[78],set_input_delay,-0.027,fall,clk_v0_setuphold,0.527,-0.932,
input1[77],set_input_delay,-0.013,rise,clk_v0_setuphold,0.395,-0.899,
input1[77],set_input_delay,-0.028,fall,clk_v0_setuphold,0.538,-0.932,
input1[76],set_input_delay,-0.012,rise,clk_v0_setuphold,0.376,-0.896,
input1[76],set_input_delay,-0.027,fall,clk_v0_setuphold,0.459,-0.937,
input1[75],set_input_delay,-0.012,rise,clk_v0_setuphold,0.271,-0.899,
input1[75],set_input_delay,-0.020,fall,clk_v0_setuphold,0.348,-0.932,
input1[74],set_input_delay,-0.013,rise,clk_v0_setuphold,0.266,-0.899,
input1[74],set_input_delay,-0.020,fall,clk_v0_setuphold,0.346,-0.930,
input1[73],set_input_delay,-0.013,rise,clk_v0_setuphold,0.254,-0.899,
input1[73],set_input_delay,-0.019,fall,clk_v0_setuphold,0.334,-0.929,
input1[72],set_input_delay,-0.012,rise,clk_v0_setuphold,0.249,-0.899,
input1[72],set_input_delay,-0.019,fall,clk_v0_setuphold,0.330,-0.929,
input1[71],set_input_delay,-0.012,rise,clk_v0_setuphold,0.265,-0.899,
input1[71],set_input_delay,-0.020,fall,clk_v0_setuphold,0.343,-0.931,
input1[70],set_input_delay,-0.013,rise,clk_v0_setuphold,0.267,-0.899,
input1[70],set_input_delay,-0.021,fall,clk_v0_setuphold,0.344,-0.933,
input1[69],set_input_delay,-0.013,rise,clk_v0_setuphold,0.269,-0.899,
input1[69],set_input_delay,-0.021,fall,clk_v0_setuphold,0.343,-0.930,
input1[68],set_input_delay,-0.013,rise,clk_v0_setuphold,0.262,-0.899,
input1[68],set_input_delay,-0.019,fall,clk_v0_setuphold,0.342,-0.928,
input1[67],set_input_delay,-0.013,rise,clk_v0_setuphold,0.267,-0.899,
input1[67],set_input_delay,-0.020,fall,clk_v0_setuphold,0.343,-0.930,
input1[66],set_input_delay,-0.013,rise,clk_v0_setuphold,0.252,-0.899,
input1[66],set_input_delay,-0.020,fall,clk_v0_setuphold,0.329,-0.929,
input1[65],set_input_delay,-0.012,rise,clk_v0_setuphold,0.271,-0.899,
input1[65],set_input_delay,-0.021,fall,clk_v0_setuphold,0.349,-0.934,
input1[64],set_input_delay,-0.013,rise,clk_v0_setuphold,0.281,-0.899,
input1[64],set_input_delay,-0.022,fall,clk_v0_setuphold,0.355,-0.934,
input1[63],set_input_delay,-0.011,rise,clk_v0_setuphold,0.283,-0.896,
input1[63],set_input_delay,-0.022,fall,clk_v0_setuphold,0.363,-0.937,
input1[62],set_input_delay,-0.013,rise,clk_v0_setuphold,0.274,-0.899,
input1[62],set_input_delay,-0.021,fall,clk_v0_setuphold,0.346,-0.931,
input1[61],set_input_delay,-0.013,rise,clk_v0_setuphold,0.350,-0.899,
input1[61],set_input_delay,-0.021,fall,clk_v0_setuphold,0.390,-0.932,
input1[60],set_input_delay,-0.013,rise,clk_v0_setuphold,0.289,-0.899,
input1[60],set_input_delay,-0.021,fall,clk_v0_setuphold,0.360,-0.931,
input1[59],set_input_delay,-0.013,rise,clk_v0_setuphold,0.287,-0.899,
input1[59],set_input_delay,-0.020,fall,clk_v0_setuphold,0.356,-0.929,
input1[58],set_input_delay,-0.013,rise,clk_v0_setuphold,0.306,-0.899,
input1[58],set_input_delay,-0.020,fall,clk_v0_setuphold,0.365,-0.928,
